117,121,71,80,83,83,68,78,130,218
100,161,60,85,76,113,149,94,82,51
38,61,57,53,44,29,66,69,64,81
70,74,60,94,77,68,73,88,77,76
1691,1788,1569,1684,1644,1555,1604,1646,1644,1671
2022,2053,2069,1970,1989,1892,2032,2066,2070,1877
2021,1971,2021,1938,1903,1936,2113,1925,2097,1958
